userName,content,score,at
Gerald Yoseka,bagus,5,2025-04-08 13:21:45
Yuliana Ziraluo,bagus sekali untuk mencari barang yang dibutuhkan,5,2025-04-08 13:21:38
Wahyu Qur'an,sebagai member platinum shopee kecewa rasanya jnt d hapus karna d daerah saya cuma pengiriman jnt yg bener² cepat pernh pake shopee express 1 kali barang ilang 1 kali tiba² retur 1 kali barang rusak jadi skip banget bisnis jadi terhambat karna jnt udah ga d pake lagi di shopee,1,2025-04-08 13:21:33
Aat Atmanah,"kadang kesel kalau tokonya yang ngirim sesuai dengan pesenan,sopie tolong toko² yang ga benar dalam pelayananannya di perhatikan ya,kadang toko ada yang upload produk tidak sesuai dengan realnya,tolong di kasih peringatan yang tegas,toko dari kota Cirebon kadang kurang amanah,dikonplen kadang ga respon ga semua tapi saya udah 2 kali kena ya, 🙏",5,2025-04-08 13:19:40
Alexander Darren,"belanja enak,,banyak diskon",5,2025-04-08 13:19:36
Guna Imam,BagusMbatu Terima🙏💕,5,2025-04-08 13:19:32
MAMA KANOPIL,ok,5,2025-04-08 13:18:48
Paijem Paijo,"aplikasinya sering ngebug,tiba"" tidak ada gambar sama sekali,padahal sinyal dan kuota ada",3,2025-04-08 13:18:46
yusuf ismail,Pesanan sudah kami terima dalam keadaan baik dan. Terimakasih Shopee atas servicenya 🙏🙏🙏🙏🙏,5,2025-04-08 13:17:57
Simaymay 0606,kerennnn bangettt😍,5,2025-04-08 13:16:38
louren 04,sangat membantu,5,2025-04-08 13:14:53
Mikhaaayllaaa,suka ajaa,5,2025-04-08 13:14:02
Birdie Imam Syach,"selalu mantap ,trimakasih shopee",5,2025-04-08 13:13:30
Ainun n,menyenangkan,5,2025-04-08 13:12:53
eza nugroho,bagus,4,2025-04-08 13:12:20
Robert Nurjati,Shopee memang pengirimannya cepat..,4,2025-04-08 13:12:19
Oleh Aza,ok,5,2025-04-08 13:12:03
Opink Khan,ok,5,2025-04-08 13:11:29
Arief Admaja,"Top..dan harga terjangkau.. mohon aktifkan SPayLater nya dong, bayarnya udah tepat waktu malahan sering COD juga..",5,2025-04-08 13:10:33
KuroiAri G,setelah memberi bintang 5 pas di tahun 2017 dan sekarang 2025 sekarang saya beri bintang 1 karna masalah saya tidak terselesaikan sampai detik ini... mungkin sampai seterusnya.. Mantap belanja di shopee tapi yg kurang bayar ditempat nya coba ada bayar ditempat makin kece aja shopee nya 😂😂😂,1,2025-04-08 13:10:29
Winarni Arni,ekspedisi pake JN* udah 3 hari gak diangkut angkut... kembalikan J&T lah...,3,2025-04-08 13:10:12
Dininuraeni April Azka,"susah banget mau cairin komisi affiliasi bikin NPWP udah ribet. pas didaftarkan di aplikasi nya juga ribet banget, gak guna banget capek-capek ngumpulin data udah sesuai semua padahal. ttp aja gak di ACC. komplain cs ngasih masukan ini itu gak ada yang ngebantu sama sekali, padahal apa susahnya sih data udah bener semua tinggal ACC. ttp aja kekeh suruh upload ulang data.mana ngeblank terus lagi pas mau masuk k menu pembayaran nya. perbaiki lah system nya woiii!!!",2,2025-04-08 13:09:12
MUHAMMAD SHOLEHUDIN,anjai rowrrr Abit gellun paket tah,5,2025-04-08 13:09:12
al fajar,keren,5,2025-04-08 13:08:39
Agung Akmal,sip laih,5,2025-04-08 13:08:27
Fahri Firman,Shopee mudah diakses dan tdk rumit,5,2025-04-08 13:08:09
Yanti Masurai,selamat,5,2025-04-08 13:07:57
Alfian Saragih,gabisa donlod epep😡😡😡,1,2025-04-08 13:06:50
Anim Setiawan,toppp,5,2025-04-08 13:05:38
Abdul Rohmat,sangat membantu kebutuhan kita,5,2025-04-08 13:05:31
Afdhal Farizki,"cacad kerjasama sama Ekspedisi ""AnterAJA"" 👎 Udah tau lemot pada banyak komplain masih aja dipertahanin. 👎👎",1,2025-04-08 13:04:34
Uki Syauqi,"barangnya bagus, kurir amanah. 👌👍",5,2025-04-08 13:04:05
Putri Shifa Nur Aulia,"pelayanan chat bantuan shopee nya kurang membantu terkesan bertele"". mau batalin orderan aja repot banget. ada seller yang ngeyelnya minta ampun 😬😤",1,2025-04-08 13:03:42
Sariden Jangkung,sesuai,5,2025-04-08 13:03:31
Deni Wahyudi,ol shop terbaik👍👍,5,2025-04-08 13:02:36
Bima Sena,👍👍👍,5,2025-04-08 13:02:36
Abel Dwi febriyanti,bagus kurir rama tepat waktu,5,2025-04-08 13:02:14
asden purwa,Bagus tapi masih ada kurangnya juga,5,2025-04-08 13:01:27
Yuda Prasetyo,"helek banget sekarang, baru aplikasi baru buka dibuka malah suruh nonton live 👎👎👎",1,2025-04-08 13:01:20
joko purnomo,"paket saya sudah hampir 10 hari belum yampai,pake kurir shope expedisi,terimakasih.",2,2025-04-08 13:01:07
Arinal Khusna,mantapp,5,2025-04-08 13:01:06
hudaya fajar,🌟,5,2025-04-08 13:00:44
Dhemo Markotop,Pakai shopee puas respon cepat gratis ongkir,5,2025-04-08 12:59:39
Yanti Jamlean,Biaya penanganan terlalu mahal dari E-commerce lainnya apalagi ongkir ke Papua sangat mehong semoga bisa di revisi lagi,2,2025-04-08 12:59:39
Intan 99,aplikasi shopee mempermudah berbelanja,5,2025-04-08 12:59:28
Angga Saputra,"ksih 4 dl,, soalnya paylater ny GK Prnh Acc",4,2025-04-08 12:59:28
Abdul Rahman Rahman,"kaga bisa di jelasin dengan kata"" poko nya di Shopee enak dah.",5,2025-04-08 12:59:09
Traatiraanolnol Haha,bagus,5,2025-04-08 12:58:48
Mipit Mono,okee,5,2025-04-08 12:58:32
Inah Jumiyem,belanja,5,2025-04-08 12:58:24
Abu leke Leke,mantaf,5,2025-04-08 12:57:37
Marolop Silalahi,ok,5,2025-04-08 12:56:20
Hernida Herni,puas,5,2025-04-08 12:56:19
aris keren,ok,5,2025-04-08 12:55:49
Athila Abdillah,baru kali ini saya membeli barang dan sudah membayar tapi barang tidak ada dan uang tidak kembali,1,2025-04-08 12:54:49
nursyifa pratama,sangat profesional,5,2025-04-08 12:54:35
Winda Amalia,"Saya kecewa sama shopee, shopee hapus J&T Express dari e-commerce nya padahal dulu sebelum shopee punya ekspedisi sendiri alias SPX Express shopee selalu di temani sama J&T Express giliran uda sukses malah di depak ga tau terima kasih banget bak kacang lupa kulit nya 😭😭😭",1,2025-04-08 12:54:13
pruew 7288,"fitur shopeefood tidak ada, sudahd update terbaru, selalu fiturnya hilang",1,2025-04-08 12:53:37
Kamis Pahing,👍👍👍,5,2025-04-08 12:53:37
Kang jono Jono,"bagus,mudah digunakan,tapi ongkirnya jangan mahal² dong..",5,2025-04-08 12:53:05
Agusti 1984,dengan adanya shopee ini sangat bermanfaat bagi saya... sukses selalu shopee,5,2025-04-08 12:52:26
Aidilla,bisa membeli banyak barang peraktis tanpa keluar rumah,4,2025-04-08 12:52:00
